data,snowmelt,pet,precipitation,surface_sensible_heat_flux,snowfall,temperature,u_component_of_wind,v_component_of_wind,runoff
1996年5月,6.544677323,1486.524825,29.10187275,-101.7401178,6.95195429,12.42530039,1.217895013,-0.32523923,
1996年6月,0,1540.29113,91.11545084,-109.1637488,0,16.83126421,1.910069795,0.163706701,
1996年7月,1.64E-05,1238.038327,81.39351811,-61.31397295,0,18.59328536,-0.268561769,0.932522452,
1996年8月,2.05E-05,1066.3669,115.7154385,-40.20669926,0,16.37032688,-0.203250069,0.999137094,
1996年9月,0.070304356,1026.202992,34.24069272,-64.75430757,0.070264726,11.62186029,1.085153219,0.950239267,
1996年10月,3.720584378,482.2662002,34.10242281,-44.17790354,10.876924,1.730638441,1.770009097,0.619156024,
1996年11月,3.182249068,0,18.72604435,4.732639892,14.91280737,-10.71020472,3.653078681,0.05195382,
1996年12月,0.024384358,0,12.96796711,39.87220326,12.89803985,-14.85905565,3.569748121,0.607902023,
1997年1月,0,0,4.28205064,25.47917121,4.197316101,-23.34675776,2.005174449,0.141760424,
1997年2月,3.203838456,0,9.31027851,19.49019294,9.241888806,-16.53654838,2.013073512,0.233983845,
1997年3月,10.22392035,0,8.381199609,-88.03938753,5.370513329,-2.614659407,1.377171434,-0.302531845,
1997年4月,23.17011941,975.3707278,33.53080014,-20.11990964,29.04329643,-0.19515172,1.514023925,-1.157962067,
1997年5月,13.86067926,1471.187535,76.65450949,-87.79838976,15.42373522,10.22004874,1.68019967,-1.108227384,
1997年6月,0.004678649,1659.297258,28.81232892,-65.69837572,0,17.44693232,0.886585032,1.221393343,
1997年7月,2.61E-05,1547.070752,145.6501949,-92.28719937,0,22.13569619,0.631034994,1.297043441,
1997年8月,3.12E-05,1348.526755,60.46856408,-31.42736145,0,18.7341915,1.740799755,0.911401127,
1997年9月,5.0858427,926.704624,56.76694825,-50.41547795,5.321140925,9.815723059,1.420509067,-0.125373917,
1997年10月,2.220050063,541.1421472,20.67371293,-57.28228285,3.778135358,1.860972936,3.395396066,-1.561308204,
1997年11月,0.961831301,0,6.024057499,-26.23880191,4.381750801,-5.561061414,2.003272403,0.675128296,
1997年12月,0.03110565,0,5.197494707,5.551280593,5.137417189,-13.50222473,2.781775897,0.913476028,
1998年1月,0,0,7.839974161,-20.19260811,7.753787548,-19.60955585,2.513265531,-0.263388543,
1998年2月,4.799732302,0,6.336008942,-20.92190312,6.185738266,-9.442720839,1.297864627,0.220816221,
1998年3月,7.084657255,0,18.97363303,-77.44513586,12.28244261,-3.354676816,2.126089996,-0.295176166,
1998年4月,5.03594078,1108.586088,61.6623301,-39.08773617,5.592658676,7.345640581,1.160496026,1.626116714,
1998年5月,0.868441326,1572.435883,59.59961381,-79.04045631,0.950899614,11.77750029,2.387477953,0.715711645,
